Course,CourseTitle,Section,DistinctStudentCount,ClassEnrollmentStatus,EnrollmentCap,WaitlistCap
MATH-UA120,DiscreteMathematics,1,8,Dropped,40,10
MATH-UA120,DiscreteMathematics,2,9,Dropped,40,10
MATH-UA120,DiscreteMathematics,3,4,Dropped,40,10
MATH-UA120,DiscreteMathematics,4,3,Dropped,40,10
MATH-UA120,DiscreteMathematics,5,14,Dropped,40,10
MATH-UA120,DiscreteMathematics,6,9,Dropped,40,10
MATH-UA121,CalculusI,1,10,Dropped,117,10
MATH-UA121,CalculusI,6,19,Dropped,118,10
MATH-UA121,CalculusI,11,16,Dropped,117,10
MATH-UA121,CalculusI,16,28,Dropped,117,10
MATH-UA122,CalculusII,1,14,Dropped,37,10
MATH-UA122,CalculusII,2,5,Dropped,36,10
MATH-UA122,CalculusII,3,11,Dropped,37,10
MATH-UA122,CalculusII,4,9,Dropped,36,10
MATH-UA122,CalculusII,5,7,Dropped,37,10
MATH-UA122,CalculusII,6,4,Dropped,37,10
MATH-UA122,CalculusII,7,5,Dropped,37,10
MATH-UA123,CalculusIII,1,2,Dropped,40,10
MATH-UA123,CalculusIII,2,7,Dropped,40,10
MATH-UA123,CalculusIII,3,2,Dropped,40,10
MATH-UA123,CalculusIII,4,6,Dropped,40,10
MATH-UA123,CalculusIII,5,4,Dropped,40,10
MATH-UA123,CalculusIII,6,3,Dropped,40,10
MATH-UA140,LinearAlgebra,1,16,Dropped,36,10
MATH-UA140,LinearAlgebra,2,14,Dropped,37,10
MATH-UA140,LinearAlgebra,3,5,Dropped,37,10
MATH-UA140,LinearAlgebra,4,9,Dropped,37,10
MATH-UA140,LinearAlgebra,5,9,Dropped,37,10
MATH-UA140,LinearAlgebra,6,9,Dropped,36,10
MATH-UA140,LinearAlgebra,7,6,Dropped,37,10
MATH-UA140,LinearAlgebra,8,16,Dropped,36,10
MATH-UA144,IntroductiontoComputerSimulation,1,5,Dropped,30,10
MATH-UA148,HonorsLinearAlgebra,1,3,Dropped,35,10
MATH-UA211,MathematicsforEconomicsI,6,30,Dropped,160,20
MATH-UA211,MathematicsforEconomicsI,11,7,Dropped,160,20
MATH-UA212,MathematicsforEconomicsII,1,10,Dropped,161,20
MATH-UA212,MathematicsforEconomicsII,6,6,Dropped,161,20
MATH-UA212,MathematicsforEconomicsII,11,13,Dropped,161,20
MATH-UA213,MathematicsforEconomicsIII,1,10,Dropped,70,10
MATH-UA224,VectorAnalysis,1,2,Dropped,35,10
MATH-UA228,FundamentalDynamicsofEarth'sAtmosphereandClimate,1,1,Dropped,30,10
MATH-UA230,IntroductiontoFluidDynamics,1,6,Dropped,12,10
MATH-UA233,TheoryofProbability,1,7,Dropped,40,16
MATH-UA233,TheoryofProbability,3,5,Dropped,40,15
MATH-UA234,MathematicalStatistics,1,10,Dropped,40,10
MATH-UA235,Probability&Statistics,1,6,Dropped,40,20
MATH-UA240,Combinatorics,1,9,Dropped,35,10
MATH-UA250,MathematicsofFinance,1,3,Dropped,54,20
MATH-UA251,IntrotoMathModeling,1,14,Dropped,44,10
MATH-UA252,NumericalAnalysis,1,11,Dropped,30,13
MATH-UA252,NumericalAnalysis,3,9,Dropped,30,13
MATH-UA262,OrdinaryDiffEquations,1,9,Dropped,42,17
MATH-UA262,OrdinaryDiffEquations,3,5,Dropped,41,16
MATH-UA263,PartialDiffEquations,1,4,Dropped,52,21
MATH-UA264,Chaos&DynamicalSystems,1,9,Dropped,35,10
MATH-UA282,FunctionsofaComplexVariable,1,7,Dropped,52,10
MATH-UA325,Analysis,1,10,Dropped,40,12
MATH-UA325,Analysis,3,6,Dropped,40,13
MATH-UA325,Analysis,5,7,Dropped,40,12
MATH-UA329,HonorsAnalysisII,1,5,Dropped,34,10
MATH-UA343,Algebra,1,8,Dropped,38,10
MATH-UA343,Algebra,3,12,Dropped,38,10
MATH-UA349,HonorsAlgebraII,1,1,Dropped,35,10
MATH-UA375,Topology,1,9,Dropped,20,10
MATH-UA377,DifferentialGeometry,1,7,Dropped,35,10
MATH-UA398,HonorsIV,1,6,Dropped,20,10
MATH-UA9,AlgebraandCalculus,1,27,Dropped,137,20
